ID,Begintijd,Tijd van voltooien,E-mail,Naam,Tijd van laatste wijziging,"Wat is uw geslacht?
",Wat is het hoogste onderwijsniveau dat u heeft afgerond?,Wat is uw leeftijd?,"Wat is uw religieuze overtuiging?
",In welke provincie heeft u het grootste deel van uw jeugd doorgebracht?,Vindt u dat iemand zelf moet kunnen kiezen of die een abortus wil?,"Indien u bij de vorige vraag 'Nee' heeft ingevuld; 
Vindt u dat er uitzonderingen zijn waarin iemand dit wel zelf moet kunnen kiezen?  

",Vindt u dat er voor abortus gekozen mag worden als de gezondheid van de vrouw door de zwangerschap in gevaar kan komen?,Vindt u dat iemand een abortus mag als de zwangerschap een gevolg is van verkrachting?,"Vindt u dat een minderjarig kind de keuze moet hebben om voor een abortus te kiezen?  

","Vindt u dat de ouders zeggenschap moeten hebben over of hun minderjarige kind wel of niet voor abortus mag kiezen?

",Moet het wettelijk verplicht worden voor vrouwen die een abortus willen om een echo van de foetus te zien voordat een abortus toegestaan is?,Vindt u dat de wettelijke bedenktijd moet terugkomen?,Vindt u dat adoptie een alternatief is voor abortus?,Moet de biologische vader zeggenschap hebben over de beslissing voor een abortus?,Het leven van de vrouw in gevaar is,Het kind met een geestelijke handicap geboren kan worden,Het kind met een levensbedreigende ziekte geboren kan worden,De zwangerschap veroorzaakt is door verkrachting,De vrouw het kind niet wil houden om niet gespecificeerde redenen,De vrouw niet in staat is voor het kind te zorgen vanwege financiële beperkingen,Wil je nog iets kwijt over de vragen of iets toevoegen?
54,5-8-24 14:32:25,5-8-24 14:34:46,anonymous,,,Vrouw,MBO,32,Christendom ,Friesland,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Weet ik niet,Nee,Ja,Ja,zeer eens,eens,zeer eens,eens,eens,beetje eens,Nvt
55,5-8-24 14:31:00,5-8-24 14:35:24,anonymous,,,Man,MBO,50,Christendom ,Friesland,Ja,,Ja,Ja,Weet ik niet,Ja,Nee,Ja,Weet ik niet,Ja,eens,beetje oneens,neutraal,zeer eens,zeer oneens,oneens,
56,5-8-24 14:33:20,5-8-24 14:36:34,anonymous,,,Man,Universiteit,44,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,eens,
57,5-8-24 14:13:57,5-8-24 14:53:51,anonymous,,,Man,MBO,39,Christendom ,Gelderland,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,Ja,eens,eens,eens,eens,neutraal,eens,
58,5-8-24 14:52:47,5-8-24 14:54:36,anonymous,,,Vrouw,HBO,52,Niet gelovig,Zuid-Holland,Ja,,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Weet ik niet,eens,eens,eens,eens,eens,eens,
59,5-8-24 15:03:37,5-8-24 15:06:21,anonymous,,,Man,Middelbare school,20,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,eens,beetje eens,beetje eens,eens,beetje eens,beetje eens,
60,5-8-24 15:06:26,5-8-24 15:08:37,anonymous,,,Man,MBO,56,Niet gelovig,Friesland,Ja,,Ja,Ja,Ja,Weet ik niet,Ja,Ja,Ja,Ja,eens,beetje eens,beetje eens,beetje eens,beetje oneens,oneens,
61,5-8-24 15:03:10,5-8-24 15:10:35,anonymous,,,Vrouw,MBO,49,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Weet ik niet,eens,beetje eens,beetje eens,zeer eens,oneens,beetje oneens,
62,5-8-24 15:01:45,5-8-24 15:10:56,anonymous,,,Vrouw,HBO,49,Niet gelovig,Noord-Brabant,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Nee,zeer eens,beetje oneens,eens,zeer eens,beetje oneens,beetje oneens,
63,5-8-24 15:09:41,5-8-24 15:14:31,anonymous,,,Vrouw,HBO,53,Niet gelovig,Gelderland,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,eens,eens,eens,eens,eens,beetje eens,
64,5-8-24 15:36:07,5-8-24 15:40:24,anonymous,,,Vrouw,MBO,22,Niet gelovig,Drenthe,Ja,Niet van toepassing ,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,zeer eens,beetje oneens,beetje eens,eens,eens,neutraal,
65,5-8-24 16:52:13,5-8-24 16:55:49,anonymous,,,Man,HBO,52,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,eens,eens,eens,eens,eens,beetje oneens,
66,5-8-24 17:03:38,5-8-24 17:07:19,anonymous,,,Vrouw,MBO,56,Niet gelovig,Groningen,Ja,Niet van toepassing ,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,beetje eens,beetje oneens,beetje eens,eens,zeer oneens,eens,
67,5-8-24 17:02:07,5-8-24 17:07:57,anonymous,,,Man,MBO,75,Christendom ,Groningen,Nee,Ja,Ja,Ja,Ja,Weet ik niet,Ja,Ja,Ja,Ja,eens,eens,eens,eens,neutraal,neutraal,
68,5-8-24 17:51:23,5-8-24 17:54:50,anonymous,,,Man,HBO,66,Niet gelovig,Noord-Brabant,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Weet ik niet,Nee,eens,beetje eens,eens,eens,beetje eens,oneens,
69,5-8-24 17:58:44,5-8-24 18:03:51,anonymous,,,Man,Universiteit,47,Anders,Zuid-Holland,Ja,,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,zeer eens,neutraal,eens,zeer eens,neutraal,beetje eens,Vraag 15 beter specificeren. Bijv. Wat als de biologische vader een verkrachter is. Dit impliceert een andere insteek dan wanneer de vrouw een (vaste) partner heeft.
70,5-8-24 18:01:35,5-8-24 18:07:22,anonymous,,,Man,HBO,66,Niet gelovig,Groningen,Ja,,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,zeer eens,eens,eens,zeer eens,beetje eens,eens,
71,5-8-24 18:10:19,5-8-24 18:13:35,anonymous,,,Vrouw,Middelbare school,17,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,
72,5-8-24 18:10:12,5-8-24 18:14:50,anonymous,,,Man,HBO,39,Niet gelovig,Friesland,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,eens,eens,zeer eens,zeer eens,eens,
73,5-8-24 18:14:12,5-8-24 18:16:40,anonymous,,,Man,Universiteit,42,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,eens,neutraal,eens,eens,neutraal,neutraal,
74,5-8-24 18:31:24,5-8-24 18:33:38,anonymous,,,Man,Universiteit,60,Niet gelovig,Limburg,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,
75,5-8-24 18:33:50,5-8-24 18:38:54,anonymous,,,Man,HBO,59,Christendom ,Groningen,Nee,Ja,Ja,Ja,Weet ik niet,Weet ik niet,Nee,Ja,Ja,Nee,eens,zeer oneens,zeer oneens,eens,oneens,zeer oneens,
76,5-8-24 18:51:16,5-8-24 18:55:02,anonymous,,,Vrouw,MBO,62,Niet gelovig,Gelderland,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Weet ik niet,Ja,Weet ik niet,eens,neutraal,neutraal,eens,neutraal,neutraal,
77,5-8-24 18:52:37,5-8-24 18:56:37,anonymous,,,Vrouw,MBO,48,Niet gelovig,Friesland,Ja,,Ja,Ja,Weet ik niet,Ja,Nee,Ja,Weet ik niet,Ja,eens,zeer eens,zeer eens,zeer eens,zeer oneens,zeer oneens,
78,5-8-24 18:52:07,5-8-24 18:56:38,anonymous,,,Man,Universiteit,51,Niet gelovig,Groningen,Ja,,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,zeer eens,neutraal,neutraal,zeer eens,eens,eens,
79,5-8-24 18:49:41,5-8-24 19:03:29,anonymous,,,Vrouw,HBO,49,Niet gelovig,Groningen,Ja,,Ja,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Nee,zeer eens,beetje eens,beetje eens,zeer eens,zeer eens,zeer eens,
80,5-8-24 18:39:10,5-8-24 19:08:43,anonymous,,,Man,Middelbare school,54,Niet gelovig,Noord-Holland,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,"Recht over je eigen lijf, waarbij religie of andere zaken, opgelegd door anderen niet relevant zijn."
81,5-8-24 19:13:58,5-8-24 19:19:37,anonymous,,,Man,Middelbare school,19,Niet gelovig,Groningen,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,eens,zeer eens,zeer eens,zeer eens,zeer eens,
82,5-8-24 19:23:17,5-8-24 19:26:07,anonymous,,,Vrouw,HBO,57,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,eens,zeer eens,zeer eens,eens,eens,
83,5-8-24 18:22:42,5-8-24 19:28:29,anonymous,,,Man,HBO,60,Christendom ,Noord-Brabant,Ja,,Ja,Ja,Ja,Weet ik niet,Ja,Nee,Nee,Ja,zeer eens,beetje eens,beetje eens,zeer eens,beetje oneens,beetje oneens,
84,5-8-24 19:27:39,5-8-24 19:29:20,anonymous,,,Man,HBO,52,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,zeer eens,beetje eens,beetje eens,zeer eens,beetje eens,beetje eens,
85,5-8-24 19:27:32,5-8-24 19:29:37,anonymous,,,Man,HBO,65,Niet gelovig,Friesland,Ja,,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,zeer eens,eens,eens,zeer eens,eens,eens,
